37
idx	RT	PRT	ST	amb_id
36	421.81	421.81	600.00	3
35	186.98	186.98	600.00	9
34	2119.00	2119.00	600.00	7
33	2031.73	2031.73	600.00	5
32	732.97	732.97	600.00	3
31	655.25	2620.99	1338.85	4
30	2414.79	2414.79	600.00	11
29	822.36	3289.45	600.00	7
12	2567.71	2567.71	600.00	3
11	29.56	118.26	600.00	13
10	1513.41	6053.66	600.00	5
9	147.19	147.19	1813.50	12
8	2119.30	8477.20	2718.41	2
7	1354.09	1354.09	3491.95	4
6	1922.35	7689.38	600.00	7
5	549.82	549.82	600.00	1
4	1342.62	6870.47	600.00	8
3	382.77	1531.07	1460.11	0
2	1900.93	7603.73	4595.88	10
1	3112.94	3112.94	600.00	9
0	1028.97	4115.90	600.00	5
13	2316.97	2316.97	600.00	11
14	1038.25	5652.98	600.00	0
15	918.81	3675.24	600.00	9
16	1924.04	7696.15	600.00	15
17	443.99	443.99	600.00	1
18	3919.25	5419.25	600.00	6
19	218.65	2374.60	600.00	4
20	519.53	519.53	600.00	14
21	149.95	599.81	600.00	7
22	1491.12	1491.12	600.00	3
23	1010.60	4042.39	2356.94	0
24	2858.00	2858.00	1288.49	12
25	1395.58	1395.58	600.00	8
26	302.83	302.83	600.00	5
27	275.13	1100.52	600.00	9
28	203.31	203.31	600.00	13
