37
idx	RT	PRT	ST	amb_id
36	4699.08	6199.08	600.00	20
35	917.95	2417.95	600.00	12
34	25.07	25.07	600.00	11
33	749.00	2249.00	600.00	22
32	103.83	1603.83	600.00	0
31	798.62	9194.49	1387.96	13
30	1533.30	3033.30	600.00	18
29	557.34	3729.37	600.00	16
12	1763.96	1763.96	600.00	23
11	2638.00	10552.01	600.00	15
10	3723.44	16393.74	600.00	22
9	169.64	6169.64	2381.28	9
8	1967.30	13869.22	2790.85	3
7	2764.24	2764.24	3885.06	20
6	3191.12	12764.49	600.00	17
5	175.72	175.72	600.00	11
4	2466.34	11365.36	600.00	18
3	2068.17	8272.67	2227.35	12
2	979.32	9917.26	4151.67	21
1	845.96	845.96	600.00	1
0	2666.57	10666.27	600.00	5
13	1543.59	3043.59	600.00	14
14	256.17	2524.68	600.00	2
15	2233.21	10432.84	600.00	4
16	1901.06	9104.26	600.00	10
17	1044.64	2544.64	600.00	0
18	2887.18	4387.18	600.00	8
19	812.05	4748.18	600.00	12
20	979.43	979.43	600.00	2
21	2876.33	11505.34	600.00	11
22	686.64	686.64	600.00	13
23	462.96	7851.82	2474.06	15
24	1017.19	7017.19	2342.31	1
25	2992.80	8992.80	600.00	17
26	1035.04	1035.04	600.00	19
27	1816.35	8765.39	600.00	20
28	666.16	2166.16	600.00	6
