37
idx	RT	PRT	ST	amb_id
36	1191.84	1191.84	600.00	5
35	853.00	853.00	600.00	11
34	2086.87	2086.87	600.00	13
32	913.75	913.75	600.00	11
33	970.89	970.89	600.00	5
31	1749.81	6999.26	1443.35	10
29	1912.91	7651.65	600.00	1
30	2684.24	2684.24	600.00	3
12	816.62	816.62	600.00	5
11	619.60	2478.38	600.00	9
10	1136.70	4546.81	600.00	13
9	313.83	313.83	2041.98	0
8	644.74	2578.95	2890.01	12
7	1002.81	1002.81	1995.91	2
6	1746.94	6987.78	600.00	1
5	1225.97	2725.97	600.00	4
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	2586.85	10347.39	3342.46	6
1	2228.33	2228.33	600.00	7
0	1894.61	7578.45	600.00	5
14	272.03	1088.13	600.00	3
15	678.20	2712.81	600.00	7
16	1183.85	6235.38	600.00	4
13	1431.80	1431.80	600.00	9
17	1462.66	1462.66	600.00	1
19	690.15	2760.59	600.00	3
20	523.87	523.87	600.00	10
22	952.73	952.73	600.00	13
18	3258.85	3258.85	600.00	7
24	754.83	754.83	1340.72	0
23	1657.20	6628.81	1451.48	2
25	2632.98	2632.98	600.00	8
26	696.94	696.94	600.00	5
27	622.95	2491.78	600.00	11
28	2244.98	2244.98	600.00	9
21	1371.03	6984.12	600.00	4
