37
idx	RT	PRT	ST	amb_id
36	1055.44	1055.44	600.00	19
35	514.45	514.45	600.00	3
34	2086.87	2086.87	600.00	11
33	834.50	834.50	600.00	19
32	407.27	407.27	600.00	1
31	687.76	2751.03	1443.35	22
30	597.71	597.71	600.00	7
29	699.76	2799.04	600.00	21
12	964.65	964.65	600.00	13
11	619.60	2478.38	600.00	19
10	1136.70	4546.81	600.00	3
9	319.78	319.78	2041.98	2
8	473.09	1892.36	2890.01	4
6	1249.01	4996.04	600.00	21
7	1002.81	1002.81	1995.91	22
5	529.13	529.13	600.00	1
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	1692.83	1692.83	600.00	9
0	1008.76	4035.04	600.00	21
13	538.06	538.06	600.00	15
14	272.03	1088.13	600.00	23
15	192.51	770.03	600.00	9
16	211.56	846.25	600.00	21
17	1616.79	1616.79	600.00	5
18	478.51	478.51	600.00	7
19	472.97	1891.89	600.00	11
20	443.28	443.28	600.00	14
21	475.74	1902.97	600.00	21
22	265.96	265.96	600.00	1
23	433.95	1735.81	1451.48	12
24	760.78	760.78	1340.72	2
25	110.59	110.59	600.00	22
26	780.56	780.56	600.00	9
27	919.13	3676.53	600.00	3
28	829.23	829.23	600.00	17
