69
idx	RT	PRT	ST	amb_id
68	1457.84	5831.35	600.00	19
67	455.63	1955.63	600.00	4
66	1321.93	6787.70	600.00	16
65	279.52	1779.52	600.00	18
64	426.76	426.76	600.00	12
63	30.00	1530.00	600.00	14
62	373.38	7493.53	1295.39	5
61	534.13	2136.50	600.00	7
60	175.83	703.32	600.00	1
59	258.09	2532.35	600.00	8
28	753.65	3014.59	1577.04	10
27	1870.97	1870.97	600.00	19
26	1043.17	2543.17	600.00	2
25	1133.97	1133.97	600.00	9
24	663.10	663.10	600.00	15
23	1300.36	5201.43	600.00	5
22	241.21	964.84	600.00	13
21	265.55	7062.21	1591.84	3
20	300.42	300.42	2449.96	6
19	464.39	3357.55	600.00	18
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	924.03	2424.03	600.00	14
15	662.66	4150.62	600.00	12
14	815.52	3262.10	1206.81	0
13	617.17	2117.17	600.00	2
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
2	1199.50	1199.50	600.00	11
3	615.64	3962.56	600.00	0
4	1525.61	1525.61	1540.69	4
5	519.14	2019.14	600.00	18
6	91.72	1591.72	600.00	2
7	1611.97	7947.89	600.00	10
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	313.58	313.58	600.00	3
11	1669.62	7669.62	600.00	17
12	349.23	1396.93	2819.93	8
29	2342.57	2342.57	600.00	7
30	604.54	2418.16	600.00	11
31	768.67	4574.68	600.00	12
32	401.33	401.33	600.00	17
33	793.90	2293.90	600.00	14
34	652.61	4110.45	600.00	4
35	199.55	199.55	600.00	1
36	1201.31	6305.26	600.00	18
37	1071.98	5787.92	600.00	16
38	2579.79	4079.79	600.00	0
39	56.85	6056.85	1387.33	15
40	102.35	102.35	600.00	3
41	491.86	491.86	600.00	9
42	346.40	346.40	600.00	17
43	476.48	1905.94	600.00	1
44	299.38	299.38	600.00	12
45	230.47	2421.89	600.00	8
46	323.51	6323.51	600.00	5
47	414.20	1914.20	600.00	14
48	720.28	2881.13	600.00	13
49	491.10	1991.10	600.00	4
50	935.87	2435.87	600.00	6
51	1739.03	1739.03	600.00	10
52	188.55	188.55	600.00	19
53	4098.80	17895.19	600.00	2
54	3861.17	15444.69	600.00	3
55	392.95	1571.79	600.00	11
56	882.18	9528.71	1513.94	17
57	1927.27	7709.08	600.00	9
58	4612.11	4612.11	600.00	15
