69
idx	RT	PRT	ST	amb_id
68	2895.97	13083.88	600.00	12
67	5289.28	5289.28	600.00	7
66	5587.42	22349.67	600.00	3
65	2769.18	4269.18	600.00	0
64	6184.82	6184.82	600.00	10
63	3838.62	3838.62	600.00	9
62	5227.31	26909.25	1295.39	15
61	3894.81	17079.24	600.00	8
60	2968.11	13372.43	600.00	14
59	6260.46	26541.85	600.00	6
28	2526.79	10107.16	1577.04	12
27	1389.74	1389.74	600.00	3
26	1795.72	3295.72	600.00	10
25	2121.18	3621.18	600.00	0
24	4957.10	6457.10	600.00	6
23	1263.07	5052.28	600.00	11
22	2003.00	8012.00	600.00	15
21	1711.63	6846.54	1591.84	14
20	3446.75	9446.75	2449.96	1
19	148.36	2093.45	600.00	6
18	1471.02	5884.10	600.00	5
17	2020.66	8082.64	1614.47	4
16	1007.42	1007.42	600.00	3
15	888.73	5054.93	600.00	10
14	1510.66	6042.62	1206.81	2
13	233.53	233.53	600.00	1
0	2176.25	2176.25	600.00	15
1	4756.51	4756.51	600.00	13
2	1714.58	3214.58	600.00	14
3	367.17	1468.68	600.00	1
4	1716.79	1716.79	1540.69	12
5	933.67	2433.67	600.00	6
6	3551.93	3551.93	600.00	7
7	1459.43	5837.72	600.00	11
8	442.82	1942.82	600.00	10
9	1843.39	8873.55	600.00	0
10	313.58	313.58	600.00	3
11	2285.16	8285.16	600.00	9
12	373.63	1494.52	2819.93	8
29	3172.54	3172.54	600.00	9
30	1499.82	5999.29	600.00	5
31	2020.66	8082.65	600.00	11
32	1250.53	2750.53	600.00	2
33	4289.16	5789.16	600.00	8
34	2760.15	11040.60	600.00	7
35	1148.86	1148.86	600.00	3
36	4031.49	16125.97	600.00	15
37	4283.80	18635.21	600.00	10
38	3130.54	4630.54	600.00	2
39	2598.55	8598.55	1387.33	5
40	1489.55	2989.55	600.00	14
41	4973.84	4973.84	600.00	13
42	1853.99	3353.99	600.00	0
43	1126.57	6006.29	600.00	4
44	1815.56	7815.56	600.00	3
45	4855.08	19420.31	600.00	11
46	2092.93	2092.93	600.00	4
47	2744.61	4244.61	600.00	14
48	2192.74	8770.95	600.00	9
49	2312.83	3812.83	600.00	12
50	3401.72	3401.72	600.00	7
51	2923.64	2923.64	600.00	0
52	3028.47	3028.47	600.00	3
53	6111.74	25946.94	600.00	4
54	3256.27	14525.06	600.00	2
55	2699.88	10799.51	600.00	9
56	5195.10	26780.41	1513.94	1
57	3172.11	14188.45	600.00	12
58	7153.82	7153.82	600.00	5
