69
idx	RT	PRT	ST	amb_id
68	4560.72	18242.89	600.00	9
67	5283.35	6783.35	600.00	12
66	3177.07	14208.27	600.00	0
65	4261.69	5761.69	600.00	14
64	3465.73	9465.73	600.00	11
63	3106.23	3106.23	600.00	13
62	3155.20	12620.81	1295.39	6
61	2715.78	12363.14	600.00	2
60	4814.63	19258.54	600.00	5
59	1710.99	8343.96	600.00	0
28	675.28	2701.11	1577.04	12
27	737.74	737.74	600.00	11
26	1262.11	2762.11	600.00	2
25	1791.08	1791.08	600.00	7
24	2218.01	3718.01	600.00	10
23	1412.17	5648.67	600.00	9
22	645.09	2580.37	600.00	15
21	630.45	8521.81	1591.84	13
20	854.10	854.10	2449.96	6
19	4600.87	18403.48	600.00	5
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	942.51	942.51	600.00	3
15	868.83	4975.33	600.00	12
14	815.52	3262.10	1206.81	0
13	836.26	2336.26	600.00	2
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
2	1199.50	1199.50	600.00	11
3	615.64	3962.56	600.00	0
4	1525.61	1525.61	1540.69	4
5	933.67	2433.67	600.00	6
6	91.72	1591.72	600.00	2
7	1611.97	7947.89	600.00	10
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	313.58	313.58	600.00	3
11	2042.04	2042.04	600.00	14
12	338.81	1355.25	2819.93	8
29	1558.55	1558.55	600.00	3
30	1139.21	6056.83	600.00	4
31	1958.99	7835.95	600.00	1
32	555.40	2055.40	600.00	0
33	1601.71	1601.71	600.00	15
34	683.70	4234.81	600.00	14
35	496.86	496.86	600.00	11
36	3313.89	13255.55	600.00	13
37	4130.63	16522.52	600.00	9
38	2435.41	3935.41	600.00	0
39	4945.89	4945.89	1387.33	8
40	1117.75	2617.75	600.00	2
41	1329.86	2829.86	600.00	4
42	831.32	831.32	600.00	11
43	951.25	5305.01	600.00	14
44	740.95	6740.95	600.00	7
45	3071.66	13786.63	600.00	12
46	1525.83	7525.83	600.00	3
47	2156.33	3656.33	600.00	6
48	529.22	3616.86	600.00	10
49	736.82	736.82	600.00	15
50	3693.29	3693.29	600.00	1
51	1900.97	7900.97	600.00	11
52	1411.72	2911.72	600.00	2
53	5152.97	20611.89	600.00	7
54	5177.19	22208.76	600.00	10
55	1963.26	9353.04	600.00	14
56	1800.77	13203.10	1513.94	15
57	2765.27	12561.10	600.00	4
58	5337.72	5337.72	600.00	3
