69
idx	RT	PRT	ST	amb_id
68	6381.81	25527.23	600.00	5
67	7352.42	8852.42	600.00	8
66	6218.21	26372.85	600.00	12
65	6162.82	7662.82	600.00	4
64	5665.91	11665.91	600.00	3
63	6719.92	8219.92	600.00	6
62	5368.66	27474.66	1295.39	13
61	7058.97	28235.89	600.00	7
60	5144.64	22078.57	600.00	0
59	4440.20	19260.79	600.00	8
28	1730.52	12922.07	1577.04	5
27	1688.14	3188.14	600.00	0
26	2057.33	3557.33	600.00	2
25	2436.42	3936.42	600.00	4
24	1732.61	1732.61	600.00	1
23	932.53	5230.10	600.00	0
22	1444.69	7278.74	600.00	12
21	2557.39	16229.57	1591.84	7
20	3174.27	3174.27	2449.96	10
19	3623.06	14492.25	600.00	13
18	1564.31	6257.24	600.00	5
17	3386.87	13547.46	1614.47	6
16	609.62	2109.62	600.00	0
15	1011.91	4047.65	600.00	1
14	1708.04	12832.15	1206.81	3
13	909.18	2409.18	600.00	12
0	1347.92	1347.92	600.00	1
1	4650.93	4650.93	600.00	9
2	1809.51	1809.51	600.00	13
3	367.17	1468.68	600.00	11
4	1525.61	1525.61	1540.69	4
5	933.67	2433.67	600.00	6
6	4676.16	6176.16	600.00	8
7	1611.97	7947.89	600.00	10
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	752.92	752.92	600.00	5
11	1952.45	1952.45	600.00	2
12	3852.35	21409.38	2819.93	11
29	2193.41	3693.41	600.00	12
30	2334.13	9336.53	600.00	3
31	1937.54	7750.14	600.00	1
32	2042.03	3542.03	600.00	0
33	5262.48	5262.48	600.00	9
34	2254.98	10519.90	600.00	2
35	3100.32	3100.32	600.00	1
36	4274.78	18599.11	600.00	4
37	6230.04	26420.16	600.00	12
38	5164.62	6664.62	600.00	8
39	3458.49	3458.49	1387.33	0
40	2609.34	2609.34	600.00	3
41	2946.35	2946.35	600.00	5
42	3169.20	3169.20	600.00	7
43	5065.65	20262.59	600.00	13
44	3255.68	3255.68	600.00	2
45	4811.78	20747.12	600.00	6
46	2878.61	8878.61	600.00	1
47	3864.40	3864.40	600.00	3
48	6128.14	26012.56	600.00	10
49	5986.21	5986.21	600.00	11
50	5484.02	5484.02	600.00	5
51	4238.85	10238.85	600.00	7
52	3406.73	3406.73	600.00	1
53	7667.71	32170.83	600.00	2
54	4701.69	20306.76	600.00	4
55	4005.99	17523.94	600.00	0
56	4564.54	24258.16	1513.94	9
57	4412.06	17648.25	600.00	3
58	7522.37	7522.37	600.00	1
