69
idx	RT	PRT	ST	amb_id
66	3894.41	15577.66	600.00	15
67	952.55	952.55	600.00	9
68	801.80	4707.22	600.00	6
65	1714.87	3214.87	600.00	8
64	2183.48	2183.48	600.00	16
63	61.84	1561.84	600.00	4
62	607.90	2431.62	1295.39	2
61	168.79	675.17	600.00	15
60	638.65	4054.62	600.00	14
59	3950.70	15802.79	600.00	3
28	435.89	1743.56	1577.04	2
26	1516.13	1516.13	600.00	7
27	657.40	2157.40	600.00	10
25	1133.97	1133.97	600.00	9
24	663.10	663.10	600.00	15
23	1300.36	5201.43	600.00	5
22	241.21	964.84	600.00	13
21	416.85	7667.41	1591.84	3
20	854.10	854.10	2449.96	6
19	941.29	5265.16	600.00	16
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	924.03	2424.03	600.00	14
15	868.83	4975.33	600.00	12
14	815.52	3262.10	1206.81	0
13	836.26	2336.26	600.00	2
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
2	1199.50	1199.50	600.00	11
3	615.64	3962.56	600.00	0
4	1525.61	1525.61	1540.69	4
5	933.67	2433.67	600.00	6
6	91.72	1591.72	600.00	2
7	1611.97	7947.89	600.00	10
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	313.58	313.58	600.00	3
11	1669.62	7669.62	600.00	17
12	338.81	1355.25	2819.93	8
29	1624.02	1624.02	600.00	11
31	962.85	5351.40	600.00	12
30	1619.67	6478.67	600.00	13
32	401.33	401.33	600.00	17
33	793.90	2293.90	600.00	14
34	652.61	4110.45	600.00	4
35	199.55	199.55	600.00	1
36	1749.43	8497.74	600.00	16
37	3485.07	15440.27	600.00	10
38	2578.02	4078.02	600.00	0
39	275.45	6275.45	1387.33	3
40	128.48	128.48	600.00	9
41	589.54	589.54	600.00	5
42	346.40	346.40	600.00	17
43	476.48	1905.94	600.00	1
44	149.03	149.03	600.00	12
45	564.26	3757.05	600.00	8
46	612.32	612.32	600.00	2
47	414.27	1914.27	600.00	14
48	259.61	1038.44	600.00	15
49	459.04	1959.04	600.00	4
50	2369.19	2369.19	600.00	7
51	720.93	720.93	600.00	6
52	745.08	745.08	600.00	9
53	3164.89	12659.56	600.00	13
54	4409.03	17636.10	600.00	11
55	1491.54	5966.14	600.00	17
56	736.22	2944.89	1513.94	12
57	2024.96	8099.84	600.00	5
58	3390.79	3390.79	600.00	1
