69
idx	RT	PRT	ST	amb_id
54	6340.86	26863.44	600.00	0
65	1348.42	2848.42	600.00	10
59	4048.21	16192.83	600.00	11
53	1953.73	7814.94	600.00	5
64	1483.62	1483.62	600.00	12
62	830.60	3322.40	1295.39	2
68	769.25	3077.00	600.00	7
67	745.63	745.63	600.00	15
66	778.66	4614.66	600.00	6
61	694.58	4278.33	600.00	0
26	1168.11	1168.11	600.00	11
28	435.89	1743.56	1577.04	2
25	1791.08	1791.08	600.00	7
27	657.40	2157.40	600.00	10
23	1412.17	5648.67	600.00	9
22	645.09	2580.37	600.00	15
21	630.45	8521.81	1591.84	13
20	854.10	854.10	2449.96	6
19	4600.87	18403.48	600.00	5
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	942.51	942.51	600.00	3
15	868.83	4975.33	600.00	12
14	815.52	3262.10	1206.81	0
13	836.26	2336.26	600.00	2
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
60	575.46	2301.83	600.00	11
31	962.85	5351.40	600.00	12
2	1199.50	1199.50	600.00	11
3	615.64	3962.56	600.00	0
4	1525.61	1525.61	1540.69	4
63	824.73	2324.73	600.00	4
5	933.67	2433.67	600.00	6
6	91.72	1591.72	600.00	2
7	1611.97	7947.89	600.00	10
8	179.33	1679.33	600.00	12
9	1513.29	6053.17	600.00	7
10	313.58	313.58	600.00	3
11	2042.04	2042.04	600.00	14
12	338.81	1355.25	2819.93	8
30	978.35	3913.39	600.00	3
33	1366.26	2866.26	600.00	4
32	516.14	516.14	600.00	1
24	2638.44	4138.44	600.00	0
29	1393.81	1393.81	600.00	15
34	683.70	4234.81	600.00	14
35	416.53	1916.53	600.00	10
39	363.76	6363.76	1387.33	13
36	2036.23	8144.93	600.00	1
38	2993.63	2993.63	600.00	9
40	1023.75	1023.75	600.00	11
37	588.19	3852.76	600.00	8
43	628.04	2512.15	600.00	3
41	778.12	2278.12	600.00	12
42	750.99	2250.99	600.00	10
44	1492.24	1492.24	600.00	2
45	2361.61	10946.44	600.00	14
46	1361.09	7361.09	600.00	15
47	1352.20	1352.20	600.00	7
49	3094.46	4594.46	600.00	8
50	912.61	2412.61	600.00	6
52	546.89	2046.89	600.00	4
48	949.65	5298.59	600.00	0
56	1038.14	10152.56	1513.94	3
55	927.25	5209.01	600.00	12
58	4919.03	4919.03	600.00	13
57	1149.53	6098.14	600.00	10
51	1490.58	7490.58	600.00	1
