69
idx	RT	PRT	ST	amb_id
67	2439.53	3939.53	600.00	12
65	1946.08	1946.08	600.00	7
66	3005.03	13520.12	600.00	6
64	1814.48	1814.48	600.00	10
62	1770.55	7082.21	1295.39	2
58	3661.06	5161.06	600.00	0
61	1966.33	7865.33	600.00	5
63	1563.52	1563.52	600.00	13
60	1774.40	7097.59	600.00	11
59	1919.78	9179.10	600.00	8
26	1464.50	2964.50	600.00	2
25	1345.85	1345.85	600.00	1
28	719.52	2878.08	1577.04	12
22	2165.44	8661.77	600.00	11
23	1072.67	4290.67	600.00	5
17	576.15	8304.61	1614.47	3
18	755.77	3023.09	600.00	1
21	1049.45	10197.79	1591.84	9
20	852.49	852.49	2449.96	6
19	1391.14	5564.56	600.00	7
16	1084.49	2584.49	600.00	4
15	913.08	5152.30	600.00	12
14	1142.64	4570.56	1206.81	10
13	233.53	233.53	600.00	1
0	2033.43	2033.43	600.00	3
1	727.05	2227.05	600.00	8
2	1844.25	1844.25	600.00	5
3	367.17	1468.68	600.00	1
33	368.05	1868.05	600.00	0
4	1716.79	1716.79	1540.69	2
34	992.74	5470.97	600.00	4
5	933.67	2433.67	600.00	6
6	241.74	241.74	600.00	13
7	1459.43	5837.72	600.00	11
8	648.83	2148.83	600.00	4
9	1843.39	8873.55	600.00	0
68	1037.09	4148.35	600.00	1
10	209.12	1709.12	600.00	12
11	2376.23	8376.23	600.00	13
12	338.81	1355.25	2819.93	8
24	2965.55	4465.55	600.00	10
27	2001.27	2001.27	600.00	13
36	2023.28	8093.13	600.00	7
31	2404.74	9618.97	600.00	3
29	2506.61	2506.61	600.00	5
30	1933.61	9234.43	600.00	0
37	588.19	3852.76	600.00	8
40	331.75	331.75	600.00	1
39	1932.04	1932.04	1387.33	2
44	95.76	6095.76	600.00	9
35	1737.10	3237.10	600.00	12
32	3388.98	3388.98	600.00	11
45	746.76	4487.05	600.00	8
49	665.23	2165.23	600.00	4
38	1333.31	2833.31	600.00	6
43	974.27	3897.07	600.00	13
42	1771.64	1771.64	600.00	1
55	143.11	572.45	600.00	9
51	1440.85	1440.85	600.00	0
53	1735.29	8441.15	600.00	6
41	2221.94	2221.94	600.00	5
48	2398.69	11094.75	600.00	12
47	2973.40	2973.40	600.00	3
46	2150.89	2150.89	600.00	10
52	1285.68	1285.68	600.00	13
50	4193.49	4193.49	600.00	9
54	1153.78	6115.12	600.00	8
56	1729.19	6916.74	1513.94	4
57	1747.19	6988.75	600.00	7
