69
idx	RT	PRT	ST	amb_id
68	130.70	2022.78	600.00	10
67	304.42	304.42	600.00	9
66	1400.22	7100.87	600.00	16
65	533.77	533.77	600.00	5
64	2383.67	2383.67	600.00	12
63	123.01	123.01	600.00	11
62	997.06	3988.25	1295.39	0
61	257.58	2530.33	600.00	2
60	451.91	1807.64	600.00	7
59	260.06	2540.23	600.00	18
28	298.39	1193.56	1577.04	10
27	2423.04	2423.04	600.00	7
26	819.93	819.93	600.00	9
25	1021.24	1021.24	600.00	19
24	508.43	2008.43	600.00	4
23	381.46	1525.82	600.00	13
22	218.59	874.35	600.00	15
21	743.59	2974.37	1591.84	14
20	961.07	961.07	2449.96	8
19	148.36	2093.45	600.00	16
18	421.62	1686.50	600.00	1
17	109.52	6438.07	1614.47	11
16	1088.36	1088.36	600.00	5
15	484.67	3438.68	600.00	10
14	1142.64	4570.56	1206.81	0
13	836.26	2336.26	600.00	2
0	1347.92	1347.92	600.00	11
1	727.05	2227.05	600.00	18
2	1936.79	1936.79	600.00	9
3	367.17	1468.68	600.00	1
4	2122.11	2122.11	1540.69	6
5	933.67	2433.67	600.00	16
6	771.83	771.83	600.00	19
7	2148.53	8594.13	600.00	3
8	367.27	367.27	600.00	13
9	1513.29	6053.17	600.00	17
10	752.92	752.92	600.00	15
11	1952.45	1952.45	600.00	12
12	348.98	1395.92	2819.93	18
30	485.33	1941.30	600.00	1
31	74.51	298.02	600.00	15
29	1815.39	1815.39	600.00	13
33	341.79	341.79	600.00	3
32	991.40	991.40	600.00	5
34	932.55	3730.21	600.00	11
35	542.88	2042.88	600.00	0
36	229.64	918.58	600.00	17
37	1182.82	6231.29	600.00	16
38	3112.86	3112.86	600.00	15
39	406.42	406.42	1387.33	2
40	227.07	227.07	600.00	19
41	1150.15	1150.15	600.00	9
42	194.10	194.10	600.00	3
43	375.77	3003.07	600.00	10
44	149.03	149.03	600.00	14
45	237.02	2448.07	600.00	18
46	321.29	321.29	600.00	0
47	340.01	340.01	600.00	5
48	1008.42	5533.69	600.00	6
49	605.04	605.04	600.00	11
50	335.25	1835.25	600.00	12
51	710.69	710.69	600.00	8
52	636.33	636.33	600.00	3
53	1765.54	7062.16	600.00	1
54	2085.92	8343.66	600.00	17
55	228.55	914.20	600.00	19
57	719.58	4378.30	600.00	4
56	736.22	2944.89	1513.94	14
58	4263.46	4263.46	600.00	13
