69
idx	RT	PRT	ST	amb_id
67	1186.95	1186.95	600.00	3
65	2318.81	2318.81	600.00	7
68	741.07	4464.30	600.00	0
63	1473.53	1473.53	600.00	13
66	1040.42	5661.66	600.00	16
64	390.14	390.14	600.00	14
62	122.36	489.43	1295.39	2
61	168.79	675.17	600.00	3
60	670.48	2681.94	600.00	15
59	880.58	5022.32	600.00	6
28	3705.80	14823.19	1577.04	8
27	510.88	510.88	600.00	21
26	697.30	697.30	600.00	5
25	1133.97	1133.97	600.00	19
24	750.97	750.97	600.00	9
23	285.75	1143.01	600.00	1
22	241.21	964.84	600.00	3
18	755.77	3023.09	600.00	11
21	124.67	498.70	1591.84	20
20	300.42	300.42	2449.96	16
19	461.48	3345.91	600.00	6
17	1520.10	6080.41	1614.47	10
16	1088.36	1088.36	600.00	15
15	913.08	5152.30	600.00	12
14	1525.02	6100.09	1206.81	2
13	233.53	233.53	600.00	11
0	1347.92	1347.92	600.00	1
1	930.55	2430.55	600.00	6
2	1844.25	1844.25	600.00	5
3	367.17	1468.68	600.00	11
4	1525.61	1525.61	1540.69	4
5	519.14	2019.14	600.00	8
6	241.74	241.74	600.00	3
7	1459.43	5837.72	600.00	21
8	179.33	1679.33	600.00	2
9	1843.39	8873.55	600.00	0
10	209.12	1709.12	600.00	12
11	2042.04	2042.04	600.00	14
12	373.63	1494.52	2819.93	18
29	527.23	527.23	600.00	13
30	967.97	5371.89	600.00	0
31	97.13	388.51	600.00	3
32	692.11	692.11	600.00	1
33	429.73	429.73	600.00	11
34	720.80	4383.18	600.00	4
35	830.37	830.37	600.00	15
36	593.52	2374.07	600.00	17
37	1041.52	4166.08	600.00	7
38	3513.63	3513.63	600.00	9
39	275.45	275.45	1387.33	12
40	138.62	138.62	600.00	19
41	349.63	349.63	600.00	5
42	220.77	220.77	600.00	11
43	120.04	480.18	600.00	1
44	431.61	431.61	600.00	20
45	538.29	3653.18	600.00	16
46	546.00	546.00	600.00	14
47	710.75	2210.75	600.00	0
48	47.71	190.83	600.00	3
49	1084.27	1084.27	600.00	21
50	2381.22	2381.22	600.00	1
51	1844.62	1844.62	600.00	18
52	980.47	980.47	600.00	19
54	1061.90	4247.59	600.00	17
55	334.78	1339.13	600.00	13
56	229.57	918.28	1513.94	10
57	884.75	3539.01	600.00	11
58	4034.19	4034.19	600.00	5
53	568.99	2275.94	600.00	7
