69
idx	RT	PRT	ST	amb_id
67	4312.43	4312.43	600.00	1
65	2064.08	2064.08	600.00	13
64	2896.63	8896.63	600.00	5
63	2375.56	2375.56	600.00	9
66	2498.81	11495.25	600.00	10
68	1061.15	5744.61	600.00	12
62	1375.64	5502.58	1295.39	4
58	4956.88	4956.88	600.00	3
60	1855.22	8920.87	600.00	2
61	1541.28	6165.13	600.00	5
28	1920.52	7682.08	1577.04	2
25	1317.31	1317.31	600.00	9
27	1017.09	1017.09	600.00	1
24	948.50	948.50	600.00	13
23	979.25	3917.01	600.00	5
18	1804.74	8718.95	600.00	12
20	3174.27	3174.27	2449.96	10
26	1345.43	1345.43	600.00	11
22	435.33	1741.34	600.00	13
21	229.53	6918.13	1591.84	3
19	1391.14	5564.56	600.00	7
17	127.45	6509.82	1614.47	1
16	1195.32	1195.32	600.00	9
15	868.83	4975.33	600.00	12
12	387.70	1550.82	2819.93	8
14	1733.10	6932.38	1206.81	4
0	1347.92	1347.92	600.00	1
59	1968.67	9374.67	600.00	8
13	1245.39	1245.39	600.00	5
1	930.55	2430.55	600.00	6
2	1199.50	1199.50	600.00	11
3	615.64	3962.56	600.00	0
5	519.14	2019.14	600.00	8
6	91.72	1591.72	600.00	2
7	1611.97	7947.89	600.00	10
8	367.27	367.27	600.00	3
10	313.58	313.58	600.00	13
11	2226.21	2226.21	600.00	2
4	2101.07	2101.07	1540.69	0
9	3767.51	16570.05	600.00	6
31	774.38	3097.52	600.00	3
36	2023.28	8093.13	600.00	7
29	2413.19	2413.19	600.00	5
30	2711.30	10845.20	600.00	13
39	1657.01	1657.01	1387.33	0
34	1686.42	6745.67	600.00	1
33	1195.80	2695.80	600.00	12
35	1937.16	1937.16	600.00	3
32	1472.97	2972.97	600.00	4
37	637.08	4048.33	600.00	8
40	303.20	303.20	600.00	9
46	852.15	6852.15	600.00	11
47	484.03	1984.03	600.00	6
45	795.65	4682.61	600.00	8
43	687.84	4251.34	600.00	12
41	1269.42	1269.42	600.00	9
44	2037.28	2037.28	600.00	4
38	3570.12	3570.12	600.00	1
57	1337.30	6849.19	600.00	12
55	1235.84	4943.37	600.00	5
48	2939.04	13256.15	600.00	6
42	2271.62	2271.62	600.00	3
49	1706.56	3206.56	600.00	2
54	1202.67	6310.69	600.00	8
52	2097.72	2097.72	600.00	9
50	3928.31	3928.31	600.00	11
51	2218.55	8218.55	600.00	13
53	2845.43	11381.71	600.00	7
56	2736.11	10944.45	1513.94	0
